day,pressure,maxtemp,temp,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall,dew_excess
30,4.850000000000023,23.1,20.8,19.2,15.5,74.0,49.0,7.7,40.0,14.3,0,5.300000000000001
31,5.25,21.3,20.3,19.3,15.3,75.0,69.0,7.7,70.0,35.1,1,5.0
32,6.25,23.2,22.1,20.1,18.8,82.0,69.0,1.1,40.0,20.5,0,3.3000000000000007
33,7.149999999999977,21.3,18.8,17.3,13.6,52.0,56.0,2.9,40.0,21.3,0,5.200000000000001
34,11.150000000000091,21.6,19.3,17.4,15.3,90.0,95.0,4.3,70.0,35.3,1,4.0
35,3.75,21.5,20.6,18.6,17.0,91.0,88.0,0.0,50.0,14.3,1,3.6000000000000014
36,9.850000000000023,18.2,17.1,16.3,9.5,78.0,89.0,0.0,50.0,28.4,0,7.600000000000001
37,1.1499999999999773,22.9,21.4,20.0,17.8,79.0,88.0,0.0,40.0,18.4,1,3.599999999999998
38,8.549999999999955,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7,0,1.3000000000000007
39,9.850000000000023,20.4,17.8,14.8,15.0,75.0,43.0,9.2,60.0,11.9,0,2.8000000000000007
40,5.649999999999977,21.9,19.3,17.2,16.9,79.0,90.0,0.0,50.0,28.8,1,2.400000000000002
41,3.8500000000000227,23.4,21.7,19.6,19.0,88.0,83.0,2.3,40.0,29.6,1,2.6999999999999993
42,2.5499999999999545,21.2,19.4,17.3,17.0,75.0,46.0,4.1,20.0,19.0,0,2.3999999999999986
43,-0.14999999999997726,21.4,20.9,19.4,17.8,83.0,88.0,0.0,30.0,20.8,1,3.099999999999998
44,1.9500000000000455,18.9,17.7,16.9,16.8,90.0,90.0,0.0,60.0,34.2,1,0.8999999999999986
45,4.149999999999977,16.1,15.5,13.6,11.4,72.0,43.0,8.8,40.0,27.3,1,4.1
46,3.6499999999999773,17.5,15.5,14.8,14.6,91.0,91.0,0.0,20.0,33.4,1,0.9000000000000004
47,4.850000000000023,20.6,16.1,14.2,12.2,79.0,89.0,1.0,20.0,10.7,1,3.900000000000002
48,3.25,21.6,19.2,17.5,19.0,95.0,92.0,0.3,40.0,6.9,1,0.1999999999999993
49,3.5499999999999545,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5,0,1.8999999999999986
50,10.350000000000023,18.8,16.0,14.8,12.4,72.0,40.0,9.5,20.0,9.8,1,3.5999999999999996
51,11.150000000000091,17.2,15.6,12.8,8.6,79.0,49.0,9.1,20.0,35.3,0,7.0
52,3.0499999999999545,22.3,19.2,18.2,18.5,96.0,88.0,0.3,70.0,9.9,1,0.6999999999999993
53,6.350000000000023,18.4,17.1,16.0,16.3,93.0,93.0,0.0,70.0,19.0,1,0.8000000000000007
54,5.5499999999999545,22.5,20.1,19.1,16.4,76.0,71.0,6.1,40.0,20.5,0,3.700000000000003
55,3.25,20.6,18.1,17.0,16.3,76.0,88.0,0.0,60.0,39.5,1,1.8000000000000007
56,3.5499999999999545,21.3,19.7,18.2,18.9,95.0,91.0,0.0,40.0,10.2,1,0.8000000000000007
57,-1.25,20.9,20.9,19.1,14.9,86.0,80.0,1.6,60.0,13.8,0,5.999999999999998
58,7.149999999999977,25.9,21.6,19.8,17.0,79.0,70.0,7.8,40.0,24.4,1,4.600000000000001
59,1.1499999999999773,25.3,21.9,19.1,19.6,86.0,82.0,1.6,40.0,27.3,1,2.299999999999997
60,0.049999999999954525,22.4,20.5,20.3,17.8,91.0,80.0,0.0,40.0,25.0,1,2.6999999999999993
61,4.850000000000023,21.3,20.3,19.9,18.9,92.0,88.0,0.0,40.0,28.4,1,1.4000000000000021
62,7.149999999999977,18.2,15.9,13.5,9.9,84.0,83.0,2.3,70.0,17.2,1,6.0
63,4.4500000000000455,20.6,18.1,16.9,17.4,95.0,91.0,0.0,40.0,16.1,1,0.7000000000000028
64,4.649999999999977,21.3,19.5,18.4,15.5,76.0,72.0,7.2,70.0,25.1,0,4.0
65,6.149999999999977,21.6,19.6,17.0,17.9,69.0,54.0,1.0,50.0,29.6,0,1.7000000000000028
66,9.450000000000045,14.3,12.8,10.0,8.0,63.0,95.0,0.1,20.0,24.5,1,4.800000000000001
67,7.0499999999999545,18.4,15.7,14.6,12.6,59.0,88.0,0.0,40.0,27.4,1,3.0999999999999996
68,0.9500000000000455,18.4,18.0,17.2,17.4,97.0,95.0,0.0,40.0,22.9,1,0.6000000000000014
69,1.75,17.8,16.0,16.9,16.6,90.0,51.0,9.5,60.0,24.9,0,-0.6000000000000014
70,1.3500000000000227,25.1,20.0,19.0,19.5,72.0,47.0,10.8,30.0,28.8,0,0.5
71,8.149999999999977,20.9,18.4,16.9,8.9,75.0,43.0,11.0,20.0,7.4,0,9.499999999999998
72,2.3500000000000227,25.2,21.8,19.1,19.9,83.0,80.0,3.4,70.0,16.5,0,1.9000000000000021
73,5.25,23.0,21.1,20.6,19.6,89.0,88.0,1.4,20.0,8.9,1,1.5
74,3.8500000000000227,26.3,23.3,19.2,18.8,84.0,61.0,7.6,70.0,24.8,1,4.5
75,-1.25,23.1,21.6,20.4,19.9,90.0,87.0,0.5,40.0,26.0,1,1.7000000000000028
76,-0.75,26.1,23.2,21.5,20.1,87.0,88.0,3.7,40.0,28.0,1,3.099999999999998
77,0.75,25.2,23.3,22.3,21.1,89.0,88.0,0.3,70.0,20.0,1,2.1999999999999993
78,0.75,24.9,23.1,22.4,22.8,85.0,88.0,3.2,70.0,31.2,1,0.3000000000000007
79,0.25,26.9,25.3,24.2,21.9,87.0,85.0,0.3,50.0,26.1,1,3.400000000000002
80,-1.8500000000000227,27.6,20.9,19.0,13.7,77.0,91.0,0.2,40.0,15.4,1,7.199999999999999
81,3.5499999999999545,26.5,24.8,23.3,22.1,83.0,81.0,1.2,80.0,24.4,1,2.6999999999999993
82,6.5499999999999545,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6,1,3.099999999999998
83,-2.25,26.3,24.9,23.0,22.0,81.0,88.0,0.2,40.0,24.4,1,2.8999999999999986
84,-2.5499999999999545,24.2,23.0,21.4,17.0,86.0,80.0,1.1,70.0,9.8,1,6.0
85,-5.149999999999977,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2,1,2.3000000000000007
86,-0.25,27.2,24.8,23.4,22.3,90.0,85.0,5.9,70.0,17.2,1,2.5
87,-0.25,27.8,25.8,23.7,20.6,74.0,88.0,0.4,40.0,16.0,1,5.199999999999999
88,-1.0499999999999545,27.1,25.9,24.2,22.6,86.0,84.0,1.6,70.0,17.5,1,3.299999999999997
89,3.5499999999999545,25.1,23.1,22.9,22.0,87.0,82.0,2.1,70.0,32.5,1,1.1000000000000014
90,-3.1499999999999773,27.2,24.8,23.3,21.6,91.0,88.0,0.3,50.0,19.6,1,3.1999999999999993
91,1.3500000000000227,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,8.9,1,2.5
92,-0.14999999999997726,28.2,24.1,22.0,22.9,89.0,81.0,1.2,70.0,31.8,1,1.2000000000000028
93,2.75,26.3,23.9,22.2,20.4,90.0,88.0,0.7,30.0,28.5,1,3.5
94,1.75,26.2,24.9,22.2,19.8,92.0,85.0,0.2,80.0,28.0,1,5.099999999999998
95,-1.8500000000000227,26.8,24.4,23.6,22.6,91.0,80.0,1.0,220.0,34.2,1,1.7999999999999972
96,-4.0499999999999545,28.2,26.7,25.3,23.1,87.0,86.0,0.3,100.0,12.0,0,3.599999999999998
97,-4.649999999999977,29.1,26.6,25.4,24.2,93.0,85.0,0.9,220.0,19.0,1,2.400000000000002
98,-1.8500000000000227,28.2,24.8,22.3,23.7,84.0,85.0,2.4,90.0,14.7,1,1.1000000000000014
99,1.9500000000000455,25.9,23.4,22.8,21.2,81.0,81.0,3.9,290.0,21.2,1,2.1999999999999993
100,3.8500000000000227,26.9,25.8,25.4,19.7,78.0,85.0,0.3,70.0,18.2,1,6.100000000000001
101,-0.25,28.6,26.7,24.3,23.2,87.0,83.0,2.2,70.0,24.0,1,3.5
102,3.5499999999999545,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8,1,3.6999999999999993
103,0.14999999999997726,30.2,26.8,24.8,23.4,85.0,78.0,2.1,70.0,24.9,1,3.400000000000002
104,2.5499999999999545,29.6,26.5,23.7,23.2,86.0,83.0,3.9,170.0,24.4,0,3.3000000000000007
105,-4.9500000000000455,28.9,26.9,24.3,24.8,87.0,82.0,1.6,200.0,23.7,1,2.099999999999998
106,-4.350000000000023,28.0,27.8,25.2,25.2,89.0,88.0,0.4,70.0,34.2,1,2.6000000000000014
107,-2.9500000000000455,30.2,26.9,24.2,22.7,84.0,84.0,2.2,230.0,15.1,1,4.199999999999999
108,-4.350000000000023,31.2,28.0,24.7,25.0,81.0,88.0,0.6,240.0,28.4,1,3.0
109,-1.8500000000000227,27.6,25.5,24.4,24.8,79.0,80.0,4.5,60.0,12.4,1,0.6999999999999993
110,-3.1499999999999773,30.6,28.1,26.8,25.1,89.0,89.0,2.0,130.0,21.4,1,3.0
111,-2.3500000000000227,30.6,28.7,26.3,25.3,86.0,84.0,2.3,270.0,18.8,1,3.3999999999999986
112,-3.4500000000000455,28.7,25.4,23.9,22.1,87.0,84.0,2.9,40.0,14.5,1,3.299999999999997
113,-1.8500000000000227,26.2,24.0,22.4,23.4,82.0,83.0,2.1,70.0,11.9,1,0.6000000000000014
114,-3.4500000000000455,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7,1,2.3999999999999986
115,-4.9500000000000455,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2,1,3.700000000000003
116,-4.4500000000000455,29.7,25.8,24.2,22.6,89.0,88.0,1.3,20.0,28.8,1,3.1999999999999993
117,-1.0499999999999545,25.8,23.7,22.4,22.3,89.0,81.0,1.2,80.0,39.5,1,1.3999999999999986
118,-2.1499999999999773,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8,0,6.199999999999999
119,0.25,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6,0,4.899999999999999
120,-5.350000000000023,31.2,28.1,26.4,24.3,85.0,90.0,3.9,130.0,23.3,1,3.8000000000000007
121,-6.4500000000000455,31.0,28.1,26.8,25.0,84.0,84.0,2.6,220.0,14.5,1,3.1000000000000014
122,-7.350000000000023,29.2,27.4,25.5,24.0,89.0,88.0,1.2,130.0,15.8,1,3.3999999999999986
123,-3.75,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1,1,3.1000000000000014
124,-2.3500000000000227,29.8,26.5,24.3,23.3,83.0,85.0,3.5,190.0,14.2,1,3.1999999999999993
125,-1.25,26.4,24.9,23.2,21.7,84.0,82.0,0.3,70.0,14.0,1,3.1999999999999993
126,-0.75,27.9,25.8,24.4,23.1,82.0,88.0,1.6,80.0,39.3,1,2.6999999999999993
127,-4.4500000000000455,31.0,28.1,26.2,25.0,81.0,80.0,3.7,80.0,20.5,1,3.1000000000000014
128,-1.8500000000000227,30.7,27.9,26.4,25.6,89.0,89.0,1.2,200.0,22.5,1,2.299999999999997
129,-3.75,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3,1,4.599999999999998
130,-2.0499999999999545,31.6,28.7,26.3,25.4,81.0,88.0,0.1,200.0,26.1,1,3.3000000000000007
131,-4.5499999999999545,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8,0,3.099999999999998
132,-0.8500000000000227,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2,1,6.100000000000001
133,-4.9500000000000455,33.0,30.1,28.0,25.1,75.0,68.0,10.0,230.0,19.3,1,5.0
134,-7.350000000000023,31.0,28.8,27.3,20.7,77.0,59.0,7.5,70.0,9.8,0,8.100000000000001
135,-3.9500000000000455,32.3,30.2,27.4,25.9,86.0,88.0,0.6,220.0,13.4,1,4.300000000000001
136,-6.649999999999977,32.0,29.4,27.6,26.0,89.0,88.0,2.5,200.0,26.4,1,3.3999999999999986
137,-4.75,32.2,29.0,27.0,25.3,79.0,79.0,7.0,220.0,16.4,1,3.6999999999999993
138,-6.649999999999977,32.3,29.6,28.7,25.7,84.0,77.0,6.3,220.0,15.4,1,3.900000000000002
139,-4.850000000000023,32.6,29.7,26.4,25.7,81.0,69.0,7.8,220.0,34.0,1,4.0
140,-5.25,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8,1,3.1999999999999993
141,-5.649999999999977,32.7,29.0,27.0,26.0,76.0,46.0,10.0,220.0,9.4,0,3.0
142,-4.149999999999977,32.8,30.0,26.4,25.2,74.0,28.0,11.1,220.0,19.0,0,4.800000000000001
143,-4.75,30.4,27.4,25.3,24.2,74.0,57.0,9.1,220.0,11.9,0,3.1999999999999993
144,-8.049999999999955,31.5,28.3,26.9,25.8,87.0,83.0,6.9,60.0,14.1,1,2.5
145,-4.5499999999999545,33.0,30.2,28.4,25.7,78.0,53.0,10.0,220.0,10.9,0,4.5
146,-4.5499999999999545,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8,1,4.300000000000001
147,-7.649999999999977,32.8,29.0,27.0,25.0,74.0,38.0,11.9,200.0,8.3,0,4.0
148,-4.75,33.3,30.1,28.0,24.3,79.0,69.0,10.7,220.0,7.9,0,5.800000000000001
149,-2.9500000000000455,31.2,28.1,25.8,23.1,79.0,49.0,9.8,20.0,14.5,0,5.0
150,-6.850000000000023,34.0,30.1,28.4,25.8,77.0,23.0,10.4,240.0,15.7,0,4.300000000000001
151,-3.4500000000000455,34.4,30.1,28.8,24.7,74.0,29.0,11.4,200.0,12.6,1,5.400000000000002
152,-4.350000000000023,34.0,30.6,26.7,25.9,81.0,79.0,4.8,220.0,25.0,1,4.700000000000003
153,-6.649999999999977,33.2,30.8,28.0,25.3,77.0,29.0,11.0,230.0,14.5,0,5.5
154,-3.8500000000000227,32.0,29.0,27.0,24.5,76.0,44.0,10.7,220.0,40.8,0,4.5
155,-6.4500000000000455,31.9,29.3,26.2,24.2,81.0,77.0,6.7,210.0,7.9,1,5.100000000000001
156,-4.5499999999999545,32.9,29.1,27.1,25.3,78.0,78.0,9.1,240.0,19.0,1,3.8000000000000007
157,-7.350000000000023,34.7,30.1,28.5,25.4,79.0,88.0,0.4,50.0,15.3,1,4.700000000000003
158,-5.149999999999977,31.7,28.9,26.2,25.8,81.0,78.0,4.6,230.0,21.9,1,3.099999999999998
159,-3.75,30.8,28.9,27.4,25.1,86.0,67.0,5.7,110.0,11.1,1,3.799999999999997
160,-4.850000000000023,32.6,30.7,28.4,25.4,86.0,78.0,2.3,230.0,14.1,1,5.300000000000001
161,-5.149999999999977,31.7,29.5,27.5,25.5,84.0,63.0,8.9,130.0,14.0,0,4.0
162,-5.75,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2,1,4.5
163,-6.649999999999977,31.0,29.3,27.1,25.3,79.0,77.0,4.6,220.0,13.9,1,4.0
164,-6.350000000000023,32.2,29.0,27.6,25.3,82.0,78.0,6.6,220.0,14.5,1,3.6999999999999993
165,-3.3500000000000227,32.6,29.7,27.4,26.1,79.0,73.0,9.4,210.0,31.9,1,3.599999999999998
166,-5.350000000000023,33.0,30.1,27.8,25.8,78.0,67.0,10.6,220.0,14.5,1,4.300000000000001
167,-4.850000000000023,31.2,29.0,27.2,25.3,90.0,77.0,2.7,130.0,9.1,1,3.6999999999999993
168,-6.0499999999999545,33.2,29.6,26.9,25.0,85.0,88.0,2.4,240.0,25.1,1,4.600000000000001
169,-10.75,33.5,30.0,27.8,26.0,89.0,88.0,2.0,220.0,10.9,1,4.0
170,-6.9500000000000455,29.1,27.9,26.6,25.8,89.0,88.0,0.5,230.0,20.9,1,2.099999999999998
171,-9.450000000000045,33.1,30.1,27.1,26.1,80.0,83.0,0.5,220.0,27.9,1,4.0
172,-10.450000000000045,33.7,30.0,26.1,24.7,89.0,78.0,2.1,220.0,9.2,1,5.300000000000001
173,-3.3500000000000227,35.2,30.0,28.5,24.7,78.0,44.0,10.1,240.0,12.4,1,5.300000000000001
174,-6.4500000000000455,31.6,29.2,27.3,25.3,86.0,86.0,1.0,80.0,31.2,1,3.8999999999999986
175,-3.9500000000000455,31.2,28.1,26.2,25.3,78.0,47.0,9.1,200.0,17.2,0,2.8000000000000007
176,-5.75,32.8,30.1,28.0,25.6,79.0,72.0,7.1,220.0,30.3,0,4.5
177,-4.649999999999977,32.9,29.7,27.4,25.8,91.0,87.0,0.2,230.0,26.3,1,3.8999999999999986
178,-4.850000000000023,32.0,29.4,27.5,26.2,82.0,84.0,6.4,230.0,16.9,1,3.1999999999999993
179,-5.350000000000023,30.6,28.4,26.7,25.8,82.0,84.0,1.3,200.0,14.5,1,2.599999999999998
180,-6.4500000000000455,31.2,29.0,26.1,25.4,80.0,88.0,1.2,190.0,26.4,1,3.6000000000000014
181,-4.850000000000023,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8,1,3.1999999999999993
182,-2.6499999999999773,31.1,28.9,26.7,25.6,84.0,84.0,4.4,190.0,16.5,1,3.299999999999997
183,-4.4500000000000455,30.3,28.4,26.8,25.4,79.0,88.0,0.3,230.0,14.5,1,3.0
184,-6.5499999999999545,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3,1,3.1999999999999993
185,-9.450000000000045,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9,1,3.099999999999998
186,-4.75,32.0,30.7,28.4,25.8,77.0,72.0,7.7,220.0,10.0,1,4.899999999999999
187,-5.149999999999977,31.7,28.9,26.9,25.3,86.0,82.0,2.2,220.0,20.0,1,3.599999999999998
188,-4.350000000000023,31.2,28.2,26.8,26.0,87.0,83.0,3.0,220.0,14.3,1,2.1999999999999993
189,-5.149999999999977,33.0,30.0,28.4,25.3,84.0,69.0,0.4,220.0,14.3,0,4.699999999999999
190,-4.850000000000023,33.0,30.0,28.1,25.5,81.0,51.0,6.9,220.0,18.0,1,4.5
191,-4.350000000000023,32.4,30.7,28.0,25.0,79.0,67.0,7.0,220.0,10.9,1,5.699999999999999
192,-6.350000000000023,33.3,30.3,26.7,26.4,79.0,88.0,3.0,200.0,20.5,1,3.900000000000002
193,-6.4500000000000455,33.0,30.4,28.0,25.5,76.0,38.0,10.9,220.0,15.8,0,4.899999999999999
194,-5.149999999999977,33.9,30.0,28.0,26.4,84.0,61.0,9.1,160.0,8.6,1,3.6000000000000014
195,-3.4500000000000455,32.5,30.7,28.3,25.5,75.0,40.0,11.2,270.0,6.6,0,5.199999999999999
196,-7.350000000000023,34.1,30.2,28.1,25.5,78.0,41.0,8.3,10.0,13.6,0,4.699999999999999
197,-7.850000000000023,33.3,30.0,26.3,24.3,81.0,47.0,8.2,220.0,12.8,1,5.699999999999999
198,-6.75,32.7,30.3,28.3,24.1,74.0,61.0,10.0,200.0,23.5,0,6.199999999999999
199,-6.5499999999999545,33.5,30.5,28.7,26.4,79.0,78.0,5.5,230.0,9.1,0,4.100000000000001
200,-12.25,32.9,30.2,28.2,25.8,78.0,38.0,11.1,230.0,16.3,1,4.399999999999999
201,-5.350000000000023,32.0,30.6,28.4,25.9,81.0,78.0,9.1,230.0,25.5,1,4.700000000000003
202,-1.8500000000000227,31.2,28.3,26.3,25.3,80.0,43.0,9.5,220.0,9.8,0,3.0
203,-4.850000000000023,31.8,28.8,26.7,24.5,81.0,78.0,2.2,200.0,11.2,1,4.300000000000001
204,-5.149999999999977,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3,1,2.6999999999999993
205,-4.350000000000023,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3,1,3.3999999999999986
206,-4.350000000000023,29.4,27.2,26.6,25.6,89.0,83.0,0.3,180.0,10.0,1,1.5999999999999979
207,-8.450000000000045,31.1,28.7,26.7,25.4,78.0,79.0,3.8,210.0,13.8,1,3.3000000000000007
208,-9.049999999999955,31.2,28.0,26.5,25.9,89.0,84.0,0.3,220.0,17.3,1,2.1000000000000014
209,-4.350000000000023,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2,1,3.0
210,-5.149999999999977,30.6,28.6,26.3,25.3,82.0,87.0,2.0,200.0,20.5,1,3.3000000000000007
211,-5.149999999999977,32.9,29.9,28.6,26.3,81.0,78.0,5.0,250.0,21.9,1,3.599999999999998
212,-6.75,30.6,27.4,24.9,25.0,84.0,88.0,2.1,190.0,21.9,1,2.3999999999999986
213,-2.75,30.6,28.3,26.6,25.9,85.0,82.0,2.9,300.0,21.9,1,2.400000000000002
214,-4.850000000000023,32.7,30.4,28.1,25.2,74.0,43.0,10.0,300.0,13.8,0,5.199999999999999
215,-5.350000000000023,31.2,28.1,26.9,25.8,82.0,84.0,2.2,220.0,24.5,1,2.3000000000000007
216,-4.9500000000000455,33.0,30.0,27.4,24.2,75.0,43.0,9.3,220.0,23.2,0,5.800000000000001
217,-5.75,30.8,27.2,25.5,23.2,75.0,78.0,3.5,90.0,13.9,1,4.0
218,-7.649999999999977,31.6,28.3,26.4,25.4,81.0,84.0,2.5,220.0,23.7,1,2.900000000000002
219,-4.75,31.5,28.1,25.7,25.5,74.0,75.0,7.6,230.0,10.9,1,2.6000000000000014
220,-5.4500000000000455,30.1,28.1,26.1,25.1,84.0,83.0,2.5,230.0,20.3,0,3.0
221,-5.4500000000000455,32.9,29.6,26.5,25.8,89.0,88.0,1.1,220.0,13.2,1,3.8000000000000007
222,-7.350000000000023,28.6,26.8,25.4,25.4,90.0,88.0,0.5,230.0,19.2,1,1.4000000000000021
223,-4.75,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3,1,4.0
224,-7.350000000000023,31.8,28.8,26.7,25.0,79.0,67.0,6.7,240.0,7.3,1,3.8000000000000007
225,-2.5499999999999545,29.6,26.9,24.5,24.1,87.0,84.0,6.0,220.0,9.1,1,2.799999999999997
226,-1.25,29.6,27.1,25.8,23.8,76.0,50.0,8.8,60.0,14.3,0,3.3000000000000007
227,-1.25,29.4,27.7,25.4,25.9,81.0,86.0,2.4,40.0,13.8,1,1.8000000000000007
228,-1.6499999999999773,33.7,29.1,26.9,23.2,85.0,84.0,5.8,230.0,11.0,1,5.900000000000002
229,-4.75,30.6,27.8,25.7,25.4,91.0,81.0,3.7,220.0,23.2,1,2.400000000000002
230,-5.9500000000000455,31.8,28.1,24.5,25.4,85.0,88.0,0.6,230.0,11.7,1,2.700000000000003
231,-1.8500000000000227,30.2,27.8,26.5,23.1,76.0,54.0,10.0,50.0,13.3,0,4.699999999999999
232,-2.6499999999999773,30.8,28.1,26.1,25.8,84.0,58.0,9.9,100.0,29.0,0,2.3000000000000007
233,-4.0499999999999545,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1,1,3.6999999999999993
234,-2.3500000000000227,28.6,26.1,25.4,23.4,89.0,87.0,0.3,40.0,11.7,1,2.700000000000003
235,-1.0499999999999545,28.1,25.8,24.5,23.2,86.0,83.0,3.6,80.0,23.7,1,2.6000000000000014
236,-1.8500000000000227,31.4,28.1,26.8,23.7,75.0,56.0,10.0,70.0,32.5,0,4.400000000000002
237,-3.4500000000000455,32.0,27.6,25.3,22.3,75.0,80.0,8.0,220.0,8.3,0,5.300000000000001
238,-0.25,30.4,28.7,26.4,25.3,83.0,79.0,2.0,220.0,29.8,1,3.3999999999999986
239,-4.149999999999977,31.8,28.0,26.8,25.0,89.0,80.0,2.0,120.0,14.5,1,3.0
240,0.35000000000002274,28.1,26.0,25.1,22.2,79.0,51.0,2.0,80.0,17.5,0,3.8000000000000007
241,1.5499999999999545,32.8,28.1,26.7,23.5,78.0,44.0,8.4,130.0,34.2,0,4.600000000000001
242,1.1499999999999773,31.3,28.1,26.0,23.3,82.0,88.0,0.2,230.0,22.9,1,4.800000000000001
243,0.4500000000000455,28.7,27.8,25.3,23.3,79.0,60.0,9.1,60.0,17.2,0,4.5
244,0.049999999999954525,29.3,27.9,25.0,25.8,83.0,84.0,3.1,110.0,9.6,0,2.099999999999998
245,-5.350000000000023,30.8,28.6,26.3,25.3,87.0,87.0,4.1,230.0,25.9,0,3.3000000000000007
246,-5.149999999999977,31.1,28.1,26.2,24.5,79.0,62.0,7.7,60.0,12.5,0,3.6000000000000014
247,-6.149999999999977,31.6,29.4,26.0,25.8,84.0,82.0,7.6,160.0,16.5,1,3.599999999999998
248,-7.4500000000000455,30.3,27.5,25.9,22.1,77.0,86.0,1.2,220.0,11.7,0,5.399999999999999
